When required data will be repartitioned into - 6779 partitions
+------------+-----+
|partition_id|count|
+------------+-----+
|           0|   49|
|           2|   44|
|           3|   57|
|           4|   46|
|           6|   83|
|           7|   53|
|           9|   86|
|          12|  101|
|          15|   92|
|          17|  160|
|          18|   50|
|          19|   60|
|          20|   55|
|          21|   53|
|          22|  142|
|          27|   41|
|          29|   99|
|          30|   89|
|          31|   51|
|          33|  138|
|          34|  155|
|          35|   56|
|          37|  152|
|          38|   56|
|          39|   86|
|          42|   42|
|          44|   46|
|          45|   49|
|          47|   97|
|          48|   43|
|          50|   61|
|          51|  107|
|          54|   49|
|          55|   56|
|          56|   55|
|          59|  100|
|          60|   48|
|          61|   51|
|          62|   50|
|          63|   67|
|          65|   39|
|          67|  104|
|          69|  105|
|          70|   44|
|          73|   63|
|          74|  107|
|          75|  148|
|          76|  129|
|          77|   51|
|          78|   42|
|          79|   40|
|          81|  161|
|          85|  150|
|          86|   53|
|          87|  105|
|          88|   54|
|          91|   52|
|          92|   57|
|          93|   47|
|          94|   94|
|          96|  102|
|          98|  152|
|          99|   47|
|         100|   47|
|         101|  134|
|         102|   60|
|         107|   98|
|         108|   97|
|         110|  110|
|         111|   61|
|         112|   49|
|         113|  272|
|         114|   47|
|         115|   51|
|         117|   90|
|         118|   42|
|         119|  100|
|         120|   87|
|         121|   43|
|         122|   54|
|         124|   47|
|         125|   53|
|         127|   48|
|         128|  149|
|         129|   99|
|         130|  168|
|         131|   90|
|         133|   53|
|         134|   60|
|         135|  123|
|         137|  147|
|         139|   50|
|         140|   52|
|         142|   50|
|         143|  113|
|         144|   53|
|         145|   49|
|         148|   49|
|         150|   93|
|         152|  140|
|         153|  112|
|         154|   62|
|         157|  114|
|         161|  164|
|         162|  111|
|         164|   72|
|         165|   52|
|         168|   50|
|         170|   43|
|         173|   52|
|         175|   53|
|         176|   54|
|         177|  157|
|         178|  113|
|         179|   60|
|         180|   41|
|         181|  101|
|         182|   66|
|         183|   60|
|         186|   50|
|         188|   60|
|         189|   48|
|         191|  116|
|         193|   85|
|         194|  106|
|         196|   55|
|         197|  146|
|         198|  156|
|         199|   47|
|         200|   43|
|         201|   44|
|         202|   50|
|         203|   45|
|         205|   46|
|         207|   43|
|         208|   88|
|         209|   41|
|         210|   55|
|         212|   59|
|         213|  101|
|         214|   65|
|         215|  102|
|         216|   48|
|         217|   50|
|         218|  110|
|         221|   98|
|         222|  147|
|         223|  174|
|         226|   54|
|         227|   49|
|         228|   40|
|         231|   97|
|         234|   40|
|         235|   99|
|         236|   50|
|         239|  117|
|         240|   89|
|         242|  106|
|         243|   85|
|         244|  110|
|         245|  101|
|         247|  140|
|         248|   91|
|         249|   46|
|         251|   85|
|         252|   70|
|         253|   53|
|         254|   64|
|         256|  117|
|         257|  109|
|         258|   88|
|         259|   54|
|         260|   52|
|         261|   41|
|         264|   61|
|         269|   50|
|         270|  140|
|         271|   88|
|         275|   45|
|         276|   61|
|         277|  100|
|         280|  140|
|         281|   56|
|         282|  152|
|         284|  122|
|         286|  150|
|         288|  160|
|         290|  175|
|         292|   33|
|         294|  104|
|         296|  210|
|         297|   43|
|         299|   63|
|         300|   52|
|         303|   90|
|         304|   52|
|         305|  141|
|         306|   46|
|         307|   49|
|         308|   45|
|         311|  151|
|         315|   56|
|         317|  102|
|         322|   55|
|         323|   85|
|         325|   52|
|         326|   97|
|         327|   48|
|         328|   32|
|         329|   47|
|         330|   52|
|         332|  104|
|         333|   96|
|         334|   40|
|         339|   93|
|         340|   46|
|         341|  146|
|         342|  102|
|         343|  163|
|         344|   49|
|         345|  109|
|         347|   48|
|         348|  105|
|         349|   39|
|         352|  195|
|         355|   58|
|         356|  111|
|         357|  111|
|         358|   48|
|         359|   46|
|         363|  113|
|         368|  159|
|         370|  102|
|         371|   99|
|         372|   52|
|         373|   85|
|         374|   46|
|         378|   97|
|         379|   64|
|         380|  156|
|         383|   95|
|         384|   56|
|         385|  147|
|         386|  200|
|         388|   85|
|         390|   46|
|         391|   44|
|         393|  110|
|         394|  107|
|         395|   49|
|         396|  107|
|         397|   58|
|         399|  110|
|         400|  118|
|         401|   58|
|         403|   43|
|         404|   52|
|         405|   34|
|         406|  175|
|         407|  105|
|         408|   50|
|         409|   94|
|         410|   51|
|         411|   56|
|         412|   96|
|         413|   50|
|         416|   98|
|         417|   52|
|         418|   50|
|         420|   51|
|         421|   51|
|         425|   82|
|         426|   53|
|         427|   46|
|         430|   48|
|         431|  110|
|         432|   49|
|         434|  103|
|         437|  140|
|         444|   44|
|         446|  108|
|         447|   59|
|         448|   46|
|         449|   92|
|         450|   43|
|         456|  197|
|         457|   54|
|         458|   61|
|         459|   53|
|         461|   54|
|         467|   50|
|         469|   39|
|         470|  122|
|         472|  102|
|         473|  139|
|         475|  103|
|         476|   50|
|         477|   54|
|         478|   91|
|         479|   52|
|         480|  117|
|         481|   46|
|         482|   83|
|         484|   69|
|         485|  170|
|         486|   51|
|         489|   57|
|         490|   59|
|         492|   87|
|         495|   57|
|         496|   48|
|         497|   45|
|         498|   60|
|         499|   50|
|         501|   45|
|         502|  146|
|         504|   47|
|         505|   48|
|         506|   51|
|         507|   92|
|         508|   44|
|         509|   50|
|         512|   99|
|         513|   60|
|         514|   97|
|         515|   94|
|         516|   47|
|         517|   89|
|         518|   98|
|         522|   98|
|         523|   55|
|         524|   51|
|         525|   92|
|         527|   98|
|         531|   49|
|         532|   85|
|         534|   57|
|         538|   47|
|         539|   49|
|         540|  108|
|         542|   92|
|         543|   56|
|         544|   32|
|         545|  111|
|         546|  109|
|         548|   98|
|         550|   50|
|         551|   39|
|         552|   96|
|         554|   93|
|         556|   42|
|         557|   53|
|         558|   50|
|         559|  148|
|         560|   51|
|         561|   51|
|         562|   54|
|         563|  288|
|         564|   55|
|         565|   43|
|         567|   98|
|         570|   90|
|         574|   43|
|         575|   56|
|         576|   97|
|         577|  108|
|         578|   46|
|         579|   60|
|         580|  178|
|         584|   45|
|         585|  164|
|         587|   49|
|         588|   47|
|         589|  110|
|         591|   35|
|         593|   59|
|         594|   50|
|         595|  101|
|         596|   54|
|         597|   48|
|         599|   55|
|         600|   92|
|         601|   46|
|         603|   55|
|         605|   44|
|         606|   40|
|         607|   46|
|         608|   46|
|         609|  148|
|         611|   49|
|         613|   52|
|         614|   54|
|         615|   92|
|         618|   53|
|         621|   98|
|         623|   49|
|         624|   46|
|         626|   43|
|         628|   51|
|         629|   42|
|         631|  147|
|         633|  100|
|         636|  197|
|         637|   47|
|         638|  126|
|         639|   41|
|         643|   43|
|         646|   54|
|         647|   39|
|         649|   47|
|         652|  154|
|         655|   42|
|         657|   51|
|         658|   88|
|         659|  104|
|         660|   99|
|         661|   44|
|         662|  145|
|         663|   78|
|         664|   51|
|         665|   52|
|         667|   63|
|         668|   86|
|         669|   98|
|         670|  169|
|         671|   96|
|         673|  100|
|         674|  121|
|         676|   80|
|         680|   49|
